Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
9830388367,Mochila Maternidade Bolsa Mamãe Bebê Multifunção,"R$27,88","98,8mil",ANJ.GG store,7%,"R$1,95",https://shopee.com.br/product/391739739/9830388367,https://s.shopee.com.br/6podotl8Xi
24645286826,"Calças de Treinamento 6 Camadas - Fraldas de Pano Laváveis para Bebês de 9-17KG, ótimas para Chá de Bebê.","R$27,90","41,8mil",Choice Oficial,16%,"R$4,46",https://shopee.com.br/product/1006215031/24645286826,https://s.shopee.com.br/6fVDcallsh
17582334455,Kit 10 Pacotes de Toalhas Umedecidas Gió Baby - 100 Folhas 20x13 cm  98% Água - SEM TAMPA FLIP TOP,"R$48,50","16,8mil",ATACADO DO LENÇO UMEDECIDO,8%,"R$3,88",https://shopee.com.br/product/604069672/17582334455,https://s.shopee.com.br/7phB0jhKVw
18499558360,Kit 30 Unidades de Massinha + 20 moldes Forminhas Sortidas Para Modelar Infantil Escolar (5 caixas 65gr),"R$19,99","8,8mil",Papel fotografico e Papelaria,8%,"R$1,60",https://shopee.com.br/product/761647073/18499558360,https://s.shopee.com.br/7fNkoQhxqv
15177433948,Kit 3 Lençol MINI BERÇO Avulso Micropercal 400 Fios,"R$23,87","34,1mil",ARMARINHOS HH,15%,"R$3,58",https://shopee.com.br/product/367895429/15177433948,https://s.shopee.com.br/7V4Kc7ibBu
22898198567,Bomba tira-leite elétrica Sem dor Alta potencia de sucção integrada Silenciosa Massageador Portátil,"R$55,99","7,3mil",Shop Bom E Cheap!,3%,"R$1,68",https://shopee.com.br/product/645740365/22898198567,https://s.shopee.com.br/7KkuPojEWt
21499332006,Toalha de Banho Bebê Felpuda Capuz Infantil Recém Nascido Com Orelhinha Menino e Menina --Lucienne Phillip FTB0631,"R$29,90","13,9mil",Globilia Seleção Oficial,14%,"R$4,19",https://shopee.com.br/product/542974007/21499332006,https://s.shopee.com.br/5pw6d3owZc
22493203232,Brinquedos Para Bebê Kit com 4 pçs Chocalho e Mordedor Macio Colorido,"R$18,99","13,4mil",CantinhoBabysp,3%,"R$0,57",https://shopee.com.br/product/378105312/22493203232,https://s.shopee.com.br/5fcgQkpZub
22992351617,"fralda descartável turma da Monica jumbinho extra seco todos os tamanhos P,M,G,XG promoção","R$23,60","3,4mil",SDLBELEZA,8%,"R$1,89",https://shopee.com.br/product/717251980/22992351617,https://s.shopee.com.br/5VJGERqDFa
22197848367,"Extrator de leite materno, bomba elétrica portátil recarregável para amamentação.","R$79,99","4,6mil",LEGAL PLUS,9%,"R$7,20",https://shopee.com.br/product/1027415014/22197848367,https://s.shopee.com.br/5Kzq28qqaZ
22097567388,Cobertor Luxo Para Bebê Dupla Face Soft Bolha Com Sherpa,"R$41,93","14,3mil",Marilu Têxtil,3%,"R$1,26",https://shopee.com.br/product/572106153/22097567388,https://s.shopee.com.br/6VBnQHmPDo
22797647692,Fast Push Game POP IT Giro Brinquedo Game Anti Stress Ansiedade presente de festa Máquina Jogos Brinquedos Anti Stress,"R$9,90","2,6mil",ALE electronic,3%,"R$0,30",https://shopee.com.br/product/1226023601/22797647692,https://s.shopee.com.br/6KsNDyn2Yn
14447766572,Kit 10 Pacotes Lenços Umedecidos Turminha da Bagunça -  50 Folhas 20 x13 cm,"R$33,95","48,2mil",ATACADO DO LENÇO UMEDECIDO,7%,"R$2,38",https://shopee.com.br/product/604069672/14447766572,https://s.shopee.com.br/6AYx1fnftm
28071854473,Lavador Nasal Buba Dino Bebê Infantil,"R$18,99","3,9mil",CantinhoBabysp,3%,"R$0,57",https://shopee.com.br/product/378105312/28071854473,https://s.shopee.com.br/60FWpMoJEl
22898174706,Suporte Para Babá Eletrônica De Berço,"R$19,90","5,9mil",VL Comercio,12%,"R$2,39",https://shopee.com.br/product/350997113/22898174706,https://s.shopee.com.br/9pSFOPZiSW
23893297410,Metralhadora Blaster Elétrica – Lançador de Bolinhas de Gel,"R$55,98","4,8mil",Mega TechStore,7%,"R$3,92",https://shopee.com.br/product/872424585/23893297410,https://s.shopee.com.br/9f8pC6aLnV
23193393069,Kit 8 Saquinhos Maternidade Várias Cores Organizador Multiuso Nécessaire Com Zíper,"R$19,90","8,6mil",TOPLLAR,3%,"R$0,60",https://shopee.com.br/product/1014927528/23193393069,https://s.shopee.com.br/9UpOznaz8U
23392855622,Caixa 12 Pacotes Toalhas Umedecidas Clean Baby com 100  cada,"R$75,99","11,2mil",CantinhoBabysp,3%,"R$2,28",https://shopee.com.br/product/378105312/23392855622,https://s.shopee.com.br/9KVynUbcTT
